car_age_years,km_driven,engine_cc,owners,price_lakh
1.0,104093.0,2669.0,2.0,11.1
12.0,185230.0,1339.0,1.0,0.4
6.0,105386.0,1181.0,3.0,8.7
9.0,184194.0,2914.0,3.0,3.8
12.0,51603.0,2452.0,1.0,7.5
4.0,86898.0,1209.0,2.0,8.9
10.0,112013.0,1009.0,1.0,5.9
11.0,87336.0,1766.0,3.0,5.6
7.0,108528.0,1696.0,1.0,6.1
15.0,103877.0,2745.0,2.0,4.7
13.0,157641.0,1062.0,1.0,2.1
7.0,162812.0,859.0,3.0,4.0
0.0,59617.0,1988.0,1.0,14.9
9.0,76083.0,1915.0,1.0,9.4
0.0,174250.0,2486.0,2.0,8.0
15.0,90401.0,,1.0,3.6
9.0,90834.0,2227.0,2.0,7.4
13.0,146271.0,1453.0,3.0,2.6
5.0,59650.0,1266.0,1.0,9.8
14.0,53929.0,2011.0,1.0,4.9
2.0,35688.0,2026.0,3.0,12.0
4.0,42761.0,2818.0,1.0,11.1
8.0,141131.0,1547.0,1.0,4.1
6.0,49607.0,1572.0,1.0,8.1
9.0,57353.0,2762.0,1.0,6.3
9.0,197618.0,1472.0,1.0,1.6
8.0,157242.0,2228.0,2.0,4.8
14.0,82332.0,1022.0,2.0,2.0
8.0,121473.0,2985.0,3.0,7.3
1.0,56587.0,1769.0,3.0,12.3
5.0,22895.0,1842.0,2.0,12.0
0.0,185416.0,1450.0,3.0,9.2
10.0,91091.0,2422.0,3.0,7.0
14.0,70090.0,2381.0,1.0,3.4
6.0,196140.0,1337.0,1.0,3.6
2.0,32332.0,2056.0,2.0,12.8
3.0,71004.0,2995.0,3.0,10.3
3.0,51899.0,2673.0,1.0,10.8
13.0,184454.0,856.0,1.0,-1.0
15.0,170768.0,2975.0,3.0,0.8
6.0,110791.0,1766.0,3.0,4.1
11.0,100305.0,2805.0,2.0,6.4
3.0,11698.0,932.0,3.0,11.4
1.0,65705.0,2399.0,3.0,14.5
4.0,25225.0,1992.0,3.0,10.7
3.0,8307.0,1649.0,2.0,9.8
4.0,154511.0,2019.0,2.0,6.2
3.0,151211.0,2394.0,2.0,6.5
10.0,116665.0,2953.0,2.0,7.9
6.0,84294.0,1792.0,1.0,7.6
0.0,128145.0,979.0,2.0,10.2
4.0,166424.0,1569.0,1.0,6.5
8.0,14952.0,2190.0,1.0,8.8
3.0,190724.0,1749.0,1.0,4.9
1.0,163521.0,964.0,2.0,7.1
6.0,63869.0,1280.0,3.0,10.6
6.0,185894.0,1152.0,1.0,2.8
6.0,22489.0,2700.0,2.0,10.8
6.0,146715.0,1967.0,3.0,3.5
6.0,157676.0,,3.0,6.0
13.0,44239.0,1275.0,2.0,5.5
12.0,115653.0,1201.0,3.0,3.4
9.0,81669.0,848.0,2.0,6.1
15.0,182100.0,2760.0,1.0,0.3
6.0,169766.0,2759.0,1.0,9.0
10.0,172778.0,2676.0,3.0,2.6
11.0,71025.0,2669.0,1.0,7.4
6.0,47841.0,1976.0,2.0,7.4
0.0,189952.0,2889.0,1.0,8.1
8.0,183809.0,1461.0,1.0,1.8
12.0,128845.0,1120.0,1.0,2.9
9.0,42935.0,2771.0,1.0,9.5
3.0,134563.0,1454.0,2.0,8.9
5.0,62281.0,1168.0,3.0,6.8
8.0,-10000.0,2757.0,1.0,8.5
1.0,76247.0,2485.0,2.0,11.3
12.0,178109.0,1517.0,1.0,0.3
5.0,146594.0,1563.0,3.0,4.2
15.0,20937.0,2509.0,1.0,9.6
9.0,53902.0,1732.0,3.0,5.7
10.0,84614.0,1982.0,2.0,4.4
15.0,66988.0,2959.0,2.0,1.7
2.0,174744.0,2307.0,1.0,6.8
-2.0,136505.0,1741.0,3.0,-0.0
12.0,178938.0,2782.0,3.0,3.0
11.0,75539.0,2327.0,1.0,8.2
6.0,106344.0,2894.0,3.0,12.3
12.0,120386.0,1142.0,3.0,4.3
6.0,163331.0,2990.0,3.0,7.2
12.0,188267.0,980.0,3.0,2.4
6.0,50571.0,2251.0,3.0,8.1
2.0,54000.0,1941.0,1.0,12.1
10.0,177916.0,1601.0,1.0,1.5
9.0,38158.0,2590.0,2.0,10.2
15.0,141175.0,821.0,1.0,0.1
10.0,41970.0,2950.0,1.0,6.9
0.0,156447.0,2970.0,1.0,9.0
1.0,148460.0,1809.0,2.0,10.9
15.0,177732.0,2149.0,3.0,1.8
4.0,124832.0,1403.0,1.0,7.5
7.0,66566.0,2386.0,3.0,11.2
12.0,99823.0,1892.0,3.0,4.9
6.0,96983.0,1430.0,3.0,5.2
14.0,157310.0,1292.0,1.0,2.5
11.0,180569.0,2734.0,2.0,5.3
6.0,154988.0,1010.0,3.0,4.4
0.0,111470.0,1401.0,2.0,10.3
4.0,188801.0,1376.0,3.0,3.2
15.0,100729.0,2379.0,2.0,2.1
14.0,28233.0,2127.0,2.0,6.1
12.0,93388.0,2779.0,2.0,5.5
15.0,65385.0,2325.0,3.0,3.9
1.0,78145.0,1866.0,3.0,11.8
4.0,59986.0,,2.0,9.5
8.0,137718.0,1562.0,1.0,3.3
15.0,117084.0,1178.0,3.0,-0.4
6.0,51451.0,2629.0,1.0,7.5
12.0,192837.0,1305.0,3.0,2.2
15.0,196121.0,2865.0,3.0,2.0
3.0,121904.0,2594.0,2.0,10.0
13.0,106446.0,1846.0,3.0,3.6
3.0,65611.0,2809.0,1.0,9.7
7.0,161223.0,1904.0,1.0,3.9
11.0,60725.0,2048.0,2.0,6.9
6.0,132383.0,1119.0,3.0,3.9
4.0,179694.0,,1.0,4.1
13.0,171285.0,1154.0,2.0,1.8
11.0,179508.0,2754.0,2.0,0.3
6.0,110399.0,2162.0,2.0,11.9
13.0,167403.0,823.0,3.0,1.0
11.0,12177.0,2050.0,2.0,6.4
11.0,142903.0,922.0,2.0,5.2
3.0,40587.0,949.0,1.0,10.7
1.0,69592.0,1357.0,2.0,12.7
4.0,133905.0,2287.0,1.0,6.5
-2.0,19630.0,1218.0,1.0,9.3
13.0,180999.0,2164.0,3.0,3.4
4.0,89901.0,1696.0,3.0,7.3
4.0,190973.0,1059.0,1.0,4.9
0.0,17481.0,915.0,2.0,10.5
4.0,58835.0,1044.0,2.0,8.5
10.0,5767.0,1554.0,1.0,7.8
3.0,85487.0,2682.0,2.0,12.4
0.0,19740.0,1144.0,1.0,14.0
4.0,122191.0,866.0,1.0,4.4
2.0,120241.0,2107.0,1.0,10.2
4.0,46770.0,2372.0,1.0,11.5
8.0,94044.0,2749.0,3.0,6.2
10.0,188253.0,1895.0,3.0,3.0
8.0,140627.0,2480.0,2.0,6.0
9.0,155059.0,2981.0,2.0,4.1
0.0,158993.0,1510.0,3.0,7.1
-2.0,186778.0,2812.0,1.0,3.9
2.0,60813.0,2763.0,1.0,12.0
12.0,110232.0,1405.0,2.0,4.7
15.0,119033.0,1598.0,2.0,-0.3
8.0,95213.0,1416.0,3.0,7.3
4.0,102651.0,1714.0,3.0,8.3
11.0,161720.0,2727.0,3.0,3.2
5.0,102016.0,2642.0,3.0,7.1
13.0,172333.0,1946.0,3.0,0.8
0.0,68086.0,1218.0,1.0,12.0
9.0,164340.0,,3.0,7.0
6.0,140511.0,1214.0,,4.2
13.0,15541.0,2065.0,,7.3
11.0,66896.0,2628.0,3.0,6.9
7.0,114868.0,830.0,2.0,7.3
7.0,75240.0,930.0,2.0,7.4
15.0,187576.0,1269.0,3.0,-0.8
9.0,74583.0,1155.0,2.0,6.3
7.0,156091.0,2604.0,1.0,9.9
13.0,7164.0,1950.0,2.0,5.7
10.0,62963.0,1353.0,3.0,5.6
11.0,196016.0,2182.0,2.0,2.8
1.0,144413.0,1404.0,3.0,6.7
2.0,154583.0,3000.0,3.0,6.9
10.0,160035.0,1411.0,1.0,2.1
11.0,60958.0,2118.0,3.0,5.2
15.0,119215.0,1775.0,2.0,3.5
12.0,29008.0,1805.0,3.0,10.2
2.0,46449.0,812.0,2.0,9.3
8.0,158580.0,2003.0,1.0,5.7
14.0,77594.0,1896.0,1.0,3.8
10.0,140003.0,1585.0,3.0,5.2
0.0,128795.0,2636.0,2.0,11.0
0.0,29097.0,1226.0,2.0,13.1
0.0,76721.0,1816.0,2.0,9.7
10.0,155600.0,2212.0,2.0,2.6
8.0,65809.0,1256.0,1.0,7.3
9.0,169978.0,1076.0,1.0,1.1
0.0,86227.0,1531.0,3.0,11.3
11.0,84431.0,1609.0,3.0,7.2
3.0,110473.0,2877.0,2.0,9.3
2.0,113368.0,864.0,1.0,8.8
7.0,52083.0,1535.0,2.0,7.9
11.0,166624.0,1671.0,3.0,1.6
3.0,198849.0,2368.0,3.0,5.0
1.0,100192.0,1571.0,3.0,8.5
7.0,133240.0,2850.0,2.0,5.2
10.0,130526.0,2934.0,2.0,5.3
3.0,31895.0,2647.0,1.0,12.8
11.0,10023.0,2413.0,1.0,9.3
5.0,33018.0,2515.0,1.0,12.1
15.0,55746.0,2607.0,1.0,4.3
0.0,67723.0,1988.0,1.0,10.9
1.0,102945.0,1926.0,2.0,6.8
15.0,55033.0,2161.0,1.0,2.8
12.0,21285.0,1105.0,3.0,8.1
,,2202.0,3.0,7.1
1.0,113874.0,2754.0,2.0,13.0
10.0,27735.0,2004.0,2.0,8.3
10.0,68639.0,1943.0,3.0,5.0
8.0,6425.0,1616.0,3.0,10.4
10.0,37511.0,821.0,3.0,6.2
15.0,195541.0,2856.0,2.0,1.8
9.0,127341.0,2679.0,3.0,6.6
10.0,89241.0,1164.0,2.0,6.6
7.0,158244.0,2611.0,2.0,5.6
7.0,7193.0,2205.0,1.0,10.9
8.0,41785.0,1397.0,2.0,7.9
6.0,120821.0,1475.0,1.0,4.7
15.0,94314.0,1841.0,3.0,4.2
0.0,,2689.0,3.0,10.3
11.0,34754.0,1689.0,3.0,5.0
14.0,68808.0,2810.0,3.0,5.8
5.0,141361.0,2455.0,2.0,6.4
1.0,24293.0,1146.0,2.0,12.4
6.0,186541.0,1234.0,3.0,2.8
4.0,97763.0,923.0,2.0,7.4
14.0,74267.0,1873.0,2.0,2.6
8.0,158365.0,2368.0,1.0,5.1
5.0,180242.0,1508.0,1.0,8.6
13.0,44643.0,1143.0,2.0,4.7
10.0,67350.0,929.0,3.0,7.3
3.0,58186.0,2764.0,3.0,10.5
1.0,184486.0,1277.0,3.0,9.2
1.0,168198.0,1140.0,,4.2
6.0,171484.0,2073.0,2.0,4.4
7.0,163725.0,890.0,3.0,3.4
12.0,8539.0,2419.0,1.0,9.7
10.0,179713.0,2369.0,1.0,-0.1
13.0,188477.0,2414.0,3.0,0.3
13.0,11252.0,2615.0,2.0,10.1
10.0,94416.0,1407.0,2.0,6.2
0.0,,1389.0,3.0,9.6
3.0,91060.0,2042.0,1.0,8.2
13.0,18557.0,2557.0,3.0,6.2
15.0,89636.0,1386.0,3.0,0.6
9.0,48545.0,1049.0,1.0,8.6
12.0,20768.0,2435.0,3.0,7.8
6.0,155170.0,1081.0,3.0,4.8
4.0,191676.0,2445.0,2.0,6.2
12.0,183836.0,843.0,2.0,-0.3
12.0,199250.0,2953.0,2.0,2.7
1.0,95431.0,2404.0,2.0,12.1
11.0,189477.0,1315.0,2.0,-0.4
15.0,75958.0,986.0,3.0,2.1
1.0,184670.0,1050.0,2.0,7.0
1.0,25497.0,2677.0,1.0,16.4
7.0,117094.0,990.0,3.0,4.1
12.0,,2226.0,3.0,3.1
3.0,103996.0,1238.0,2.0,10.4
2.0,39104.0,1242.0,2.0,12.8
2.0,53247.0,1671.0,3.0,10.1
9.0,186350.0,1209.0,1.0,3.4
13.0,36823.0,2527.0,3.0,8.3
4.0,110531.0,2224.0,1.0,9.8
1.0,85889.0,2166.0,3.0,12.3
4.0,19189.0,1837.0,3.0,11.7
4.0,57417.0,936.0,3.0,9.5
11.0,68627.0,1846.0,3.0,6.7
6.0,49174.0,2591.0,2.0,12.1
3.0,8235.0,1658.0,3.0,10.2
6.0,148760.0,1563.0,1.0,3.0
12.0,18385.0,1106.0,3.0,7.3
5.0,44180.0,1277.0,3.0,6.8
9.0,81940.0,1319.0,3.0,8.0
8.0,195481.0,1374.0,3.0,2.1
0.0,22998.0,2391.0,2.0,14.7
,55286.0,2036.0,1.0,12.1
14.0,76192.0,1581.0,3.0,3.3
7.0,104896.0,1070.0,2.0,8.7
0.0,159443.0,2375.0,1.0,8.3
15.0,132719.0,1467.0,1.0,2.5
14.0,178771.0,2859.0,1.0,2.3
11.0,142985.0,1250.0,1.0,0.2
5.0,174555.0,2727.0,3.0,4.2
15.0,154414.0,2917.0,3.0,2.5
3.0,24155.0,1090.0,2.0,7.4
6.0,123440.0,1463.0,1.0,4.8
14.0,,2868.0,1.0,1.6
10.0,47355.0,2208.0,1.0,8.0
11.0,183812.0,2207.0,1.0,0.7
11.0,155883.0,2820.0,1.0,4.7
2.0,104238.0,2872.0,1.0,14.0
6.0,176656.0,1943.0,3.0,5.0
2.0,111624.0,1663.0,3.0,6.9
4.0,188479.0,2037.0,2.0,5.0
3.0,68675.0,2870.0,1.0,9.8
0.0,136112.0,1357.0,2.0,8.3
6.0,115058.0,1103.0,2.0,6.3
14.0,110386.0,2143.0,3.0,6.1
6.0,52630.0,2466.0,3.0,8.3
12.0,26089.0,2902.0,3.0,8.8
15.0,40318.0,2538.0,1.0,3.6
13.0,162581.0,897.0,3.0,0.8
9.0,196168.0,1171.0,1.0,2.2
6.0,146430.0,1680.0,2.0,5.8
7.0,142336.0,1217.0,3.0,2.8
4.0,182668.0,2447.0,1.0,5.1
3.0,59910.0,2675.0,1.0,11.2
15.0,138111.0,1436.0,1.0,-0.8
10.0,73223.0,1835.0,2.0,6.9
9.0,173772.0,2902.0,1.0,2.8
15.0,187579.0,1924.0,3.0,1.5
3.0,70267.0,1482.0,2.0,12.9
3.0,5828.0,2099.0,1.0,14.2
5.0,9286.0,831.0,1.0,9.5
1.0,45305.0,2724.0,2.0,10.8
11.0,-10000.0,1821.0,3.0,1.1
1.0,53164.0,2169.0,2.0,10.2
3.0,40587.0,949.0,1.0,10.7
7.0,114368.0,1894.0,2.0,5.8
10.0,69699.0,2406.0,1.0,6.2
14.0,56579.0,2534.0,2.0,2.6
4.0,91596.0,2564.0,2.0,10.6
2.0,103585.0,2221.0,2.0,7.8
13.0,68939.0,958.0,2.0,5.0
0.0,58049.0,1050.0,3.0,11.0
3.0,113449.0,1509.0,,8.2
2.0,70006.0,1791.0,2.0,11.8
9.0,11606.0,1608.0,3.0,9.3
8.0,17264.0,1178.0,1.0,9.5
11.0,123604.0,2133.0,2.0,1.1
15.0,31752.0,2067.0,2.0,5.6
5.0,47006.0,2790.0,3.0,8.7
14.0,126974.0,803.0,1.0,1.2
4.0,56173.0,2851.0,3.0,11.3
10.0,62493.0,1143.0,2.0,5.6
,69268.0,973.0,3.0,5.7
2.0,159184.0,2198.0,3.0,11.8
9.0,45069.0,2417.0,2.0,7.7
-2.0,199977.0,891.0,2.0,3.7
13.0,160103.0,2694.0,2.0,3.8
9.0,167882.0,2808.0,2.0,7.0
7.0,172185.0,1066.0,1.0,4.9
2.0,146836.0,1548.0,2.0,7.6
14.0,25257.0,1332.0,1.0,6.1
2.0,119834.0,1491.0,1.0,10.7
5.0,68572.0,2265.0,2.0,10.2
0.0,82351.0,2499.0,3.0,11.8
11.0,50759.0,,3.0,5.4
6.0,90083.0,1480.0,2.0,4.8
8.0,101624.0,1043.0,1.0,9.1
13.0,188113.0,2179.0,1.0,4.2
6.0,82587.0,836.0,1.0,4.5
1.0,40677.0,,3.0,10.3
10.0,183132.0,2301.0,1.0,4.6
14.0,138744.0,2576.0,1.0,5.0
9.0,32998.0,1853.0,1.0,7.1
13.0,99265.0,2155.0,3.0,5.1
9.0,84757.0,2197.0,3.0,7.6
0.0,6712.0,2868.0,1.0,14.0
9.0,105260.0,2783.0,3.0,4.4
3.0,72551.0,1717.0,2.0,12.5
13.0,37854.0,1149.0,3.0,4.8
8.0,31150.0,2906.0,2.0,8.3
10.0,101241.0,1314.0,2.0,5.0
7.0,178922.0,2635.0,1.0,5.2
14.0,100598.0,2053.0,1.0,3.6
5.0,13889.0,1935.0,3.0,10.5
0.0,66709.0,2264.0,2.0,12.6
1.0,90883.0,1245.0,1.0,11.7
2.0,164115.0,1979.0,3.0,8.2
11.0,37087.0,2588.0,2.0,8.3
11.0,8830.0,2590.0,3.0,8.7
7.0,133581.0,1299.0,1.0,6.0
1.0,190748.0,1134.0,3.0,4.8
2.0,156523.0,2181.0,1.0,5.3
4.0,143971.0,2527.0,2.0,8.0
1.0,13021.0,1530.0,3.0,12.0
1.0,5025.0,2832.0,3.0,11.4
8.0,49258.0,893.0,3.0,5.4
6.0,23509.0,983.0,2.0,9.7
11.0,58521.0,971.0,3.0,6.2
12.0,160480.0,817.0,1.0,0.9
9.0,94183.0,1771.0,3.0,7.0
5.0,118156.0,1961.0,3.0,9.7
15.0,28090.0,2714.0,2.0,7.8
10.0,88305.0,2828.0,1.0,2.8
11.0,69048.0,2744.0,1.0,9.7
14.0,51996.0,2001.0,1.0,4.3
11.0,101693.0,1317.0,1.0,2.9
8.0,139508.0,2745.0,2.0,7.4
11.0,55396.0,1294.0,3.0,6.3
5.0,185315.0,1424.0,1.0,6.5
8.0,93217.0,1901.0,3.0,7.6
12.0,74254.0,2994.0,2.0,7.3
0.0,117447.0,1502.0,2.0,10.0
5.0,101345.0,962.0,3.0,7.9
13.0,129332.0,1490.0,1.0,0.2
9.0,34336.0,1592.0,3.0,7.7
14.0,197882.0,1018.0,1.0,0.7
3.0,147845.0,1500.0,2.0,7.8
8.0,199216.0,1764.0,1.0,1.8
2.0,76730.0,1497.0,3.0,12.3
14.0,179476.0,2755.0,8.0,1.8
6.0,90974.0,2703.0,2.0,8.3
12.0,129601.0,1348.0,1.0,4.4
7.0,94042.0,1357.0,1.0,7.3
1.0,84703.0,1358.0,2.0,7.7
13.0,170045.0,2123.0,2.0,2.5
13.0,93510.0,1462.0,2.0,2.0
4.0,195615.0,2702.0,3.0,6.3
2.0,107847.0,2240.0,2.0,9.6
7.0,196987.0,2502.0,1.0,4.8
11.0,192568.0,1012.0,3.0,3.0
14.0,56478.0,1182.0,3.0,6.3
1.0,92283.0,1410.0,1.0,11.0
1.0,145011.0,917.0,1.0,5.9
6.0,192275.0,2955.0,1.0,4.2
15.0,193436.0,2897.0,2.0,1.8
12.0,122495.0,1973.0,2.0,6.7
9.0,160796.0,1654.0,3.0,2.8
7.0,90942.0,1169.0,3.0,7.6
14.0,198635.0,2385.0,2.0,1.7
14.0,60325.0,2795.0,3.0,6.7
7.0,82394.0,1424.0,3.0,7.7
2.0,152210.0,2259.0,1.0,9.1
11.0,99610.0,1153.0,3.0,4.8
9.0,141176.0,1367.0,1.0,3.7
7.0,100662.0,1776.0,3.0,9.3
9.0,136142.0,1461.0,2.0,5.5
4.0,198997.0,1503.0,1.0,5.7
15.0,30642.0,1197.0,3.0,3.2
2.0,76309.0,2000.0,1.0,11.6
2.0,72692.0,2888.0,2.0,11.1
5.0,173146.0,1654.0,1.0,4.6
0.0,15463.0,1428.0,2.0,11.8
6.0,49896.0,2809.0,2.0,11.7
0.0,190212.0,2499.0,3.0,9.5
10.0,59319.0,2553.0,1.0,8.1
9.0,44441.0,1964.0,1.0,6.3
15.0,127157.0,2641.0,3.0,2.4
13.0,106446.0,1846.0,3.0,3.6
3.0,150713.0,2113.0,2.0,6.4
7.0,80407.0,1509.0,3.0,7.4
5.0,162310.0,2872.0,2.0,7.5
12.0,149339.0,2084.0,2.0,0.8
3.0,115097.0,2182.0,1.0,11.2
15.0,68547.0,2031.0,3.0,4.5
2.0,154844.0,2270.0,3.0,10.2
9.0,58231.0,961.0,2.0,5.9
15.0,134861.0,2209.0,3.0,-0.0
2.0,117758.0,893.0,1.0,8.8
0.0,32387.0,1300.0,2.0,13.1
9.0,47301.0,1472.0,1.0,8.9
1.0,119834.0,1405.0,2.0,8.1
9.0,97875.0,2319.0,2.0,8.3
11.0,189919.0,2643.0,1.0,0.9
2.0,87234.0,2290.0,3.0,10.1
14.0,139872.0,2142.0,1.0,-0.8
10.0,22547.0,1584.0,1.0,9.1
9.0,198988.0,1059.0,2.0,2.0
5.0,97476.0,1454.0,1.0,8.9
3.0,136837.0,1481.0,3.0,8.8
14.0,60788.0,2286.0,1.0,7.8
1.0,128477.0,2752.0,3.0,11.3
2.0,31484.0,1009.0,3.0,10.4
10.0,74616.0,2216.0,3.0,8.3
15.0,104913.0,2088.0,3.0,1.6
15.0,9809.0,2885.0,3.0,7.9
5.0,70192.0,2114.0,3.0,11.2
9.0,45999.0,2263.0,1.0,8.8
3.0,134563.0,1454.0,2.0,8.9
2.0,53247.0,1671.0,3.0,10.1
1.0,51513.0,838.0,1.0,8.5
2.0,138208.0,985.0,3.0,6.0
2.0,107847.0,2240.0,2.0,9.6
0.0,10428.0,1578.0,2.0,12.8
15.0,21996.0,,2.0,4.6
2.0,65200.0,2899.0,1.0,11.4
13.0,21525.0,1331.0,3.0,7.2
9.0,177322.0,1263.0,1.0,2.5
13.0,188168.0,2128.0,2.0,0.7
4.0,10556.0,2149.0,3.0,11.7
12.0,41130.0,2085.0,2.0,4.0
14.0,25380.0,2495.0,2.0,5.2
1.0,45184.0,2381.0,1.0,12.8
11.0,103749.0,2298.0,3.0,4.8
2.0,146950.0,1996.0,1.0,8.2
7.0,126320.0,1969.0,1.0,9.3
5.0,124507.0,2527.0,1.0,9.9
15.0,120656.0,1787.0,2.0,1.9
10.0,39854.0,1190.0,3.0,5.8
14.0,82332.0,1022.0,2.0,2.0
13.0,178322.0,2415.0,1.0,2.2
11.0,12140.0,1491.0,3.0,7.0
2.0,21171.0,1749.0,1.0,10.8
11.0,12565.0,2984.0,2.0,10.0
0.0,107634.0,2873.0,1.0,10.8
8.0,195064.0,,2.0,2.7
5.0,141267.0,2935.0,3.0,5.4
7.0,194823.0,2508.0,3.0,5.2
1.0,149506.0,2324.0,8.0,8.6
13.0,36850.0,2377.0,1.0,5.2
0.0,98701.0,1368.0,3.0,12.3
0.0,182037.0,2143.0,3.0,9.0
11.0,18424.0,2056.0,1.0,8.5
5.0,162038.0,2070.0,1.0,4.9
8.0,,1160.0,1.0,2.0
12.0,178109.0,1517.0,1.0,0.3
0.0,92081.0,2681.0,2.0,12.1
9.0,25780.0,1487.0,3.0,9.6
11.0,62963.0,2419.0,,7.7
4.0,27203.0,2198.0,1.0,11.5
5.0,112259.0,2720.0,3.0,9.0
12.0,184821.0,1550.0,2.0,2.8
5.0,148218.0,1604.0,1.0,5.9
6.0,166999.0,1522.0,3.0,4.3
14.0,120677.0,1974.0,1.0,3.2
3.0,67152.0,1755.0,2.0,13.9
7.0,56294.0,2040.0,1.0,7.1
1.0,182704.0,1270.0,2.0,8.4
6.0,144198.0,2371.0,3.0,6.9
9.0,48545.0,1049.0,1.0,8.6
,103155.0,2310.0,2.0,5.5
7.0,90478.0,2374.0,3.0,7.2
12.0,123164.0,2089.0,1.0,3.2
12.0,83268.0,2299.0,2.0,4.4
